home_team,away_team,home_team_goals,away_team_goals,home_team_age,away_team_age,date
Israel,Belgium,0,1,26.363636363636363,25.181818181818183,2024-11-17T19:45:00Z
Senegal,Peru,2,0,26.818181818181817,29.636363636363637,2026-03-28T16:00:00Z
Senegal,Gabon,3,0,24.727272727272727,2.909090909090909,2024-03-22T19:30:00Z
Senegal,Kenya,8,0,26.727272727272727,25.363636363636363,2025-11-18T15:00:00Z
England,Senegal,1,3,26.181818181818183,27.0,2025-06-10T18:45:00Z
England,Senegal,3,0,26.363636363636363,26.545454545454547,2022-12-04T19:00:00Z
Burundi,Senegal,0,1,24.818181818181817,27.454545454545453,2024-09-09T13:00:00Z
Senegal,Burundi,2,0,27.181818181818183,26.09090909090909,2024-11-19T19:00:00Z
Senegal,Madagascar,1,0,21.545454545454547,27.272727272727273,2023-01-31T19:00:00Z
Senegal,Niger,1,0,26.818181818181817,25.636363636363637,2024-01-08T18:00:00Z
Senegal,Togo,2,0,27.90909090909091,26.545454545454547,2025-03-25T21:00:00Z
Togo,Senegal,0,0,26.636363636363637,27.818181818181817,2023-11-21T16:00:00Z
Senegal,Eswatini,10,9,21.90909090909091,27.90909090909091,2022-07-13T12:00:00Z
Senegal,Guinea,1,0,2.272727272727273,0.0,2025-07-07T17:00:00Z
Guinea,Senegal,0,2,26.454545454545453,28.454545454545453,2024-01-23T17:00:00Z
Senegal,Guinea,0,0,28.818181818181817,25.636363636363637,2022-01-14T13:00:00Z
Benin,Senegal,0,3,25.454545454545453,28.636363636363637,2025-12-30T19:00:00Z
Senegal,Benin,1,0,28.636363636363637,25.272727272727273,2024-03-26T19:30:00Z
Benin,Senegal,1,1,25.818181818181817,26.181818181818183,2023-06-17T19:00:00Z
Senegal,Benin,3,1,27.454545454545453,27.727272727272727,2022-06-04T19:00:00Z
Senegal,Congo,1,1,22.2,24.0,2025-08-12T14:00:00Z
Senegal,Cameroon,3,1,27.0,27.0,2024-01-19T17:00:00Z
Senegal,Cameroon,1,0,28.0,27.09090909090909,2023-10-16T18:30:00Z
Senegal,Botswana,3,0,29.0,29.272727272727273,2025-12-23T15:00:00Z
Senegal,Rwanda,1,1,22.454545454545453,25.727272727272727,2023-09-09T19:00:00Z
Rwanda,Senegal,0,1,26.636363636363637,27.727272727272727,2022-06-07T19:00:00Z
Zambia,Senegal,4,3,25.545454545454547,23.09090909090909,2022-07-15T17:00:00Z
Senegal,Sudan,3,1,29.545454545454547,30.363636363636363,2026-01-03T16:00:00Z
Sudan,Senegal,0,0,25.09090909090909,22.0,2025-08-19T17:00:00Z
Sudan,Senegal,0,0,30.818181818181817,28.636363636363637,2025-03-22T19:00:00Z
Senegal,Sudan,2,0,27.272727272727273,30.09090909090909,2025-09-05T19:00:00Z
Mali,Senegal,0,1,27.90909090909091,29.545454545454547,2026-01-09T16:00:00Z
Senegal,Cape Verde,2,0,29.272727272727273,30.272727272727273,2022-01-25T16:00:00Z
Bolivia,Senegal,0,2,27.09090909090909,26.181818181818183,2022-09-24T17:00:00Z
Senegal,Zimbabwe,1,0,28.454545454545453,30.363636363636363,2022-01-10T13:00:00Z
Senegal,Nigeria,1,0,22.2,22.818181818181817,2025-08-05T17:00:00Z
Senegal,Mauritania,4,0,28.454545454545453,25.818181818181817,2025-10-14T19:00:00Z
Mauritania,Senegal,0,1,26.636363636363637,27.363636363636363,2024-06-09T16:00:00Z
Senegal,Mauritania,1,0,21.545454545454547,26.363636363636363,2023-01-27T19:00:00Z
Senegal,Gambia,3,1,26.0,25.90909090909091,2026-03-31T19:00:00Z
Senegal,Gambia,3,0,27.545454545454547,26.636363636363637,2024-01-15T14:00:00Z
Senegal,Burkina Faso,1,1,27.818181818181817,25.363636363636363,2024-09-06T19:00:00Z
Burkina Faso,Senegal,0,1,26.818181818181817,27.545454545454547,2024-11-14T19:00:00Z
Burkina Faso,Senegal,1,3,26.90909090909091,29.818181818181817,2022-02-02T19:00:00Z
Ireland,Senegal,1,1,26.90909090909091,25.636363636363637,2025-06-06T18:45:00Z
Senegal,Mozambique,5,1,29.09090909090909,30.636363636363637,2023-03-24T19:00:00Z
